,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
4400,20.0,58.0,57.0,26.0,65.0,31.0,32.0,50.0,66.0,79.0,79.0,72.0,69.0,63.0,32.0,70.0,80.0,73.0,26.0,84.0,70.0,37.0,42.0,35.0,56.0,70.0,75.0,73.0,12.0,14.0,10.0,14.0,6.0,1
4401,73.0,75.0,60.0,67.0,62.0,44.0,48.0,54.0,68.0,59.0,62.0,56.0,68.0,51.0,70.0,76.0,66.0,86.0,61.0,82.0,27.0,73.0,58.0,73.0,75.0,30.0,21.0,22.0,13.0,10.0,6.0,8.0,8.0,3
4402,45.0,70.0,63.0,52.0,50.0,38.0,32.0,57.0,56.0,65.0,53.0,74.0,63.0,70.0,67.0,83.0,76.0,77.0,57.0,75.0,66.0,42.0,54.0,61.0,73.0,69.0,75.0,74.0,9.0,15.0,7.0,8.0,12.0,1
4403,46.0,61.0,72.0,45.0,72.0,64.0,47.0,62.0,69.0,72.0,73.0,71.0,70.0,74.0,62.0,71.0,68.0,75.0,53.0,67.0,68.0,59.0,59.0,48.0,64.0,62.0,71.0,73.0,6.0,7.0,15.0,14.0,11.0,1
4404,34.0,66.0,76.0,33.0,46.0,43.0,40.0,71.0,66.0,57.0,40.0,62.0,59.0,48.0,52.0,50.0,67.0,72.0,44.0,76.0,74.0,39.0,65.0,44.0,62.0,66.0,74.0,68.0,11.0,10.0,16.0,8.0,12.0,2
4405,49.0,55.0,70.0,56.0,71.0,53.0,36.0,58.0,70.0,75.0,79.0,73.0,70.0,65.0,67.0,61.0,81.0,72.0,65.0,68.0,67.0,64.0,60.0,47.0,67.0,65.0,72.0,68.0,13.0,15.0,10.0,15.0,10.0,1
4406,50.0,66.0,68.0,53.0,62.0,56.0,48.0,69.0,66.0,65.0,65.0,72.0,69.0,69.0,68.0,86.0,67.0,72.0,55.0,68.0,69.0,57.0,62.0,63.0,72.0,73.0,72.0,68.0,6.0,11.0,10.0,6.0,14.0,1
4407,70.0,54.0,68.0,59.0,64.0,62.0,41.0,65.0,73.0,62.0,71.0,72.0,75.0,78.0,58.0,44.0,52.0,54.0,68.0,60.0,65.0,74.0,71.0,55.0,76.0,34.0,52.0,46.0,12.0,12.0,16.0,7.0,8.0,2
4408,25.0,73.0,59.0,22.0,47.0,48.0,46.0,60.0,53.0,42.0,44.0,31.0,65.0,26.0,53.0,55.0,63.0,89.0,29.0,72.0,67.0,37.0,49.0,48.0,62.0,72.0,69.0,69.0,15.0,13.0,7.0,8.0,10.0,1
4409,63.0,69.0,71.0,64.0,66.0,65.0,60.0,76.0,72.0,68.0,73.0,65.0,69.0,68.0,68.0,66.0,84.0,84.0,69.0,70.0,63.0,62.0,73.0,65.0,69.0,67.0,63.0,65.0,15.0,10.0,16.0,13.0,6.0,2
4410,33.0,64.0,66.0,44.0,72.0,45.0,37.0,53.0,69.0,85.0,79.0,67.0,66.0,75.0,49.0,73.0,71.0,77.0,48.0,65.0,72.0,60.0,52.0,49.0,62.0,65.0,73.0,69.0,7.0,14.0,10.0,10.0,9.0,1
4411,30.0,77.0,64.0,30.0,47.0,27.0,41.0,57.0,61.0,52.0,50.0,38.0,66.0,45.0,52.0,67.0,56.0,92.0,33.0,66.0,67.0,38.0,44.0,45.0,55.0,72.0,68.0,65.0,10.0,16.0,14.0,7.0,12.0,1
4412,71.0,69.0,66.0,64.0,74.0,56.0,67.0,47.0,75.0,71.0,74.0,68.0,60.0,66.0,72.0,73.0,57.0,77.0,56.0,70.0,29.0,71.0,59.0,56.0,64.0,37.0,29.0,34.0,11.0,8.0,12.0,12.0,8.0,3
